rust_path	kind	rust_signature	disposition	python_path	exclusion_kind	rationale
jbotci_diagnostics::DiagnosticSpanError::ByteOffsetOutOfBounds::offset	field	usize	subsumed	jbotci.source.DiagnosticSpanError		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticSpanError::ByteOffsetOutOfBounds::source_len	field	usize	subsumed	jbotci.source.DiagnosticSpanError		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticSpanError::CharOffsetOutOfBounds	variant	{ offset : usize , source_len : usize }	subsumed	jbotci.source.DiagnosticSpanError		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticSpanError::CharOffsetOutOfBounds::offset	field	usize	subsumed	jbotci.source.DiagnosticSpanError		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticSpanError::CharOffsetOutOfBounds::source_len	field	usize	subsumed	jbotci.source.DiagnosticSpanError		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticSpanError::SourceLocation	variant	(# [from] SourceLocationError)	subsumed	jbotci.source.DiagnosticSpanError		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticSpanError::SourceLocation::0	field	SourceLocationError	subsumed	jbotci.source.DiagnosticSpanError		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticStyledNote	struct	()	direct	jbotci.diagnostics.DiagnosticStyledNote		
jbotci_diagnostics::DiagnosticStyledNote::mode	field	DiagnosticNoteMode	direct	jbotci.diagnostics.DiagnosticStyledNote.mode		
jbotci_diagnostics::DiagnosticStyledNote::new	method	fn new (mode : DiagnosticNoteMode , segments : Vec < DiagnosticTextSegment >) -> Self	subsumed	jbotci.diagnostics.DiagnosticStyledNote		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticStyledNote::segments	field	Vec < DiagnosticTextSegment >	direct	jbotci.diagnostics.DiagnosticStyledNote.segments		
jbotci_diagnostics::DiagnosticTextLink	enum	()	direct	jbotci.diagnostics.DiagnosticTextLink		
jbotci_diagnostics::DiagnosticTextLink::CllSection	variant	{ section_id : String , # [serde (default , skip_serializing_if = "Option::is_none")] anchor : Option < String > , }	subsumed	jbotci.diagnostics.DiagnosticTextLink		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticTextLink::CllSection::anchor	field	Option < String >	subsumed	jbotci.diagnostics.DiagnosticTextLink		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticTextLink::CllSection::section_id	field	String	subsumed	jbotci.diagnostics.DiagnosticTextLink		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticTextLink::EbnfRule	variant	{ rule_name : String , }	subsumed	jbotci.diagnostics.DiagnosticTextLink		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticTextLink::EbnfRule::rule_name	field	String	subsumed	jbotci.diagnostics.DiagnosticTextLink		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticTextLink::VlackuWord	variant	{ word : String , }	subsumed	jbotci.diagnostics.DiagnosticTextLink		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticTextLink::VlackuWord::word	field	String	subsumed	jbotci.diagnostics.DiagnosticTextLink		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticTextLink::cll_section	method	fn cll_section (& self) -> Option < (& str , Option < & str >) >	subsumed	jbotci.diagnostics.DiagnosticTextLink		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticTextLink::ebnf_rule	method	fn ebnf_rule (& self) -> Option < & str >	subsumed	jbotci.diagnostics.DiagnosticTextLink		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticTextLink::vlacku_word	method	fn vlacku_word (& self) -> Option < & str >	subsumed	jbotci.diagnostics.DiagnosticTextLink		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticTextRole	enum	macro-generated fieldless enum	direct	jbotci.diagnostics.DiagnosticTextRole		
jbotci_diagnostics::DiagnosticTextRole::ALL	associated-constant	&'static [Self]	subsumed	jbotci.diagnostics.DiagnosticTextRole		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticTextRole::Construct	variant	unit	subsumed	jbotci.diagnostics.DiagnosticTextRole		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticTextRole::Keyword	variant	unit	subsumed	jbotci.diagnostics.DiagnosticTextRole		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticTextRole::Plain	variant	unit	subsumed	jbotci.diagnostics.DiagnosticTextRole		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticTextRole::Punctuation	variant	unit	subsumed	jbotci.diagnostics.DiagnosticTextRole		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticTextRole::Selmaho	variant	unit	subsumed	jbotci.diagnostics.DiagnosticTextRole		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticTextRole::SpecificWord	variant	unit	subsumed	jbotci.diagnostics.DiagnosticTextRole		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticTextRole::WordCategory	variant	unit	subsumed	jbotci.diagnostics.DiagnosticTextRole		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticTextRole::name	method	fn name(self) -> &'static str	subsumed	jbotci.diagnostics.DiagnosticTextRole		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticTextSegment	struct	()	direct	jbotci.diagnostics.DiagnosticTextSegment		
jbotci_diagnostics::DiagnosticTextSegment::link	field	Option < DiagnosticTextLink >	direct	jbotci.diagnostics.DiagnosticTextSegment.link		
jbotci_diagnostics::DiagnosticTextSegment::new	method	fn new (role : DiagnosticTextRole , text : String) -> Self	subsumed	jbotci.diagnostics.DiagnosticTextSegment		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticTextSegment::role	field	DiagnosticTextRole	direct	jbotci.diagnostics.DiagnosticTextSegment.role		
jbotci_diagnostics::DiagnosticTextSegment::text	field	String	direct	jbotci.diagnostics.DiagnosticTextSegment.text		
jbotci_diagnostics::DiagnosticTextSegment::with_link	method	fn with_link (role : DiagnosticTextRole , text : String , link : DiagnosticTextLink) -> Self	subsumed	jbotci.diagnostics.DiagnosticTextSegment		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::TraceContext	struct	()	direct	jbotci.diagnostics.TraceContext		
jbotci_diagnostics::TraceContext::byte_end	field	usize	direct	jbotci.diagnostics.TraceContext.byte_end		
jbotci_diagnostics::TraceContext::byte_start	field	usize	direct	jbotci.diagnostics.TraceContext.byte_start		
jbotci_diagnostics::TraceContext::construct	field	String	direct	jbotci.diagnostics.TraceContext.construct		
jbotci_diagnostics::TraceContext::new	method	fn new (construct : String , byte_start : usize , byte_end : usize) -> Self	subsumed	jbotci.diagnostics.TraceContext		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::TraceEvent	struct	()	direct	jbotci.diagnostics.TraceEvent		
jbotci_diagnostics::TraceEvent::byte_end	field	usize	direct	jbotci.diagnostics.TraceEvent.byte_end		
jbotci_diagnostics::TraceEvent::byte_start	field	usize	direct	jbotci.diagnostics.TraceEvent.byte_start		
jbotci_diagnostics::TraceEvent::depth	field	usize	direct	jbotci.diagnostics.TraceEvent.depth		
jbotci_diagnostics::TraceEvent::detail	field	Option < String >	direct	jbotci.diagnostics.TraceEvent.detail		
jbotci_diagnostics::TraceEvent::kind	field	TraceEventKind	direct	jbotci.diagnostics.TraceEvent.kind		
jbotci_diagnostics::TraceEvent::label	field	String	direct	jbotci.diagnostics.TraceEvent.label		
jbotci_diagnostics::TraceEvent::level	field	TraceLevel	direct	jbotci.diagnostics.TraceEvent.level		
jbotci_diagnostics::TraceEvent::phase	field	TracePhase	direct	jbotci.diagnostics.TraceEvent.phase		
jbotci_diagnostics::TraceEventKind	enum	macro-generated fieldless enum	direct	jbotci.diagnostics.TraceEventKind		
jbotci_diagnostics::TraceEventKind::ALL	associated-constant	&'static [Self]	subsumed	jbotci.diagnostics.TraceEventKind		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::TraceEventKind::ConstructEnter	variant	unit	subsumed	jbotci.diagnostics.TraceEventKind		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::TraceEventKind::ConstructFailure	variant	unit	subsumed	jbotci.diagnostics.TraceEventKind		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::TraceEventKind::ConstructSuccess	variant	unit	subsumed	jbotci.diagnostics.TraceEventKind		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::TraceEventKind::MorphologyFailure	variant	unit	subsumed	jbotci.diagnostics.TraceEventKind		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::TraceEventKind::MorphologyStep	variant	unit	subsumed	jbotci.diagnostics.TraceEventKind		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::TraceEventKind::Rewind	variant	unit	subsumed	jbotci.diagnostics.TraceEventKind		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::TraceEventKind::Save	variant	unit	subsumed	jbotci.diagnostics.TraceEventKind		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::TraceEventKind::TerminalAttempt	variant	unit	subsumed	jbotci.diagnostics.TraceEventKind		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::TraceEventKind::TerminalFailure	variant	unit	subsumed	jbotci.diagnostics.TraceEventKind		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::TraceEventKind::TerminalSuccess	variant	unit	subsumed	jbotci.diagnostics.TraceEventKind		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::TraceEventKind::Token	variant	unit	subsumed	jbotci.diagnostics.TraceEventKind		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::TraceEventKind::name	method	fn name(self) -> &'static str	subsumed	jbotci.diagnostics.TraceEventKind		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::TraceFailureBranch	struct	()	direct	jbotci.diagnostics.TraceFailureBranch		
jbotci_diagnostics::TraceFailureBranch::contexts	field	Vec < TraceContext >	direct	jbotci.diagnostics.TraceFailureBranch.contexts		
jbotci_diagnostics::TraceFailureBranch::expected	field	Vec < String >	direct	jbotci.diagnostics.TraceFailureBranch.expected		
jbotci_diagnostics::TraceFailureSummary	struct	()	direct	jbotci.diagnostics.TraceFailureSummary		
jbotci_diagnostics::TraceFailureSummary::branches	field	Vec < TraceFailureBranch >	direct	jbotci.diagnostics.TraceFailureSummary.branches		
jbotci_diagnostics::TraceFailureSummary::byte_end	field	usize	direct	jbotci.diagnostics.TraceFailureSummary.byte_end		
jbotci_diagnostics::TraceFailureSummary::byte_start	field	usize	direct	jbotci.diagnostics.TraceFailureSummary.byte_start		
jbotci_diagnostics::TraceFailureSummary::current_context	field	Option < TraceContext >	direct	jbotci.diagnostics.TraceFailureSummary.current_context		
jbotci_diagnostics::TraceFailureSummary::reason	field	String	direct	jbotci.diagnostics.TraceFailureSummary.reason		
jbotci_diagnostics::TraceFilter	struct	()	direct	jbotci.diagnostics.TraceFilter		
jbotci_diagnostics::TraceFilter::name	field	String	direct	jbotci.diagnostics.TraceFilter.name		
jbotci_diagnostics::TraceFilter::new	method	fn new (name : String) -> Self	subsumed	jbotci.diagnostics.TraceFilter		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::TraceLevel	enum	macro-generated fieldless enum	direct	jbotci.diagnostics.TraceLevel		
jbotci_diagnostics::TraceLevel::ALL	associated-constant	&'static [Self]	direct	jbotci.diagnostics.TraceLevel.ALL		
jbotci_diagnostics::TraceLevel::All	variant	unit	subsumed	jbotci.diagnostics.TraceLevel		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::TraceLevel::Detailed	variant	unit	subsumed	jbotci.diagnostics.TraceLevel		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::TraceLevel::Primitives	variant	unit	subsumed	jbotci.diagnostics.TraceLevel		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::TraceLevel::Top	variant	unit	subsumed	jbotci.diagnostics.TraceLevel		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::TraceLevel::from_number	method	fn from_number (value : u8) -> Result < Self , TraceOptionError >	direct	jbotci.diagnostics.TraceLevel.from_number		
jbotci_diagnostics::TraceLevel::name	method	fn name(self) -> &'static str	subsumed	jbotci.diagnostics.TraceLevel		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::TraceLevel::number	method	fn number (self) -> u8	direct	jbotci.diagnostics.TraceLevel.number		
jbotci_diagnostics::TraceOptionError	enum	()	direct	jbotci.diagnostics.TraceOptionError		
jbotci_diagnostics::TraceOptionError::InvalidLevel	variant	{ value : u8 }	subsumed	jbotci.diagnostics.TraceOptionError		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::TraceOptionError::InvalidLevel::value	field	u8	subsumed	jbotci.diagnostics.TraceOptionError		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::TraceOptions	struct	()	direct	jbotci.diagnostics.TraceOptions		
jbotci_diagnostics::TraceOptions::disabled	method	fn disabled () -> Self	subsumed	jbotci.diagnostics.TraceOptions		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::TraceOptions::enabled	field	bool	direct	jbotci.diagnostics.TraceOptions.enabled		
jbotci_diagnostics::TraceOptions::enabled	method	fn enabled (level : TraceLevel , filter : Option < TraceFilter > , phase : TracePhase , limit : usize ,) -> Self	direct	jbotci.diagnostics.TraceOptions.enabled		
jbotci_diagnostics::TraceOptions::filter	field	Option < TraceFilter >	direct	jbotci.diagnostics.TraceOptions.filter		
jbotci_diagnostics::TraceOptions::includes	method	fn includes (& self , phase : TracePhase) -> bool	direct	jbotci.diagnostics.TraceOptions.includes		
jbotci_diagnostics::TraceOptions::level	field	TraceLevel	direct	jbotci.diagnostics.TraceOptions.level		
jbotci_diagnostics::TraceOptions::limit	field	usize	direct	jbotci.diagnostics.TraceOptions.limit		
jbotci_diagnostics::TraceOptions::phase	field	TracePhase	direct	jbotci.diagnostics.TraceOptions.phase		
jbotci_diagnostics::TraceOptions::with_limit	method	fn with_limit (self , limit : usize) -> Self	direct	jbotci.diagnostics.TraceOptions.with_limit		
jbotci_diagnostics::TraceOptions::with_phase	method	fn with_phase (self , phase : TracePhase) -> Self	direct	jbotci.diagnostics.TraceOptions.with_phase		
jbotci_diagnostics::TracePhase	enum	macro-generated fieldless enum	direct	jbotci.diagnostics.TracePhase		
jbotci_diagnostics::TracePhase::ALL	associated-constant	&'static [Self]	direct	jbotci.diagnostics.TracePhase.ALL		
jbotci_diagnostics::TracePhase::All	variant	unit	subsumed	jbotci.diagnostics.TracePhase		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::TracePhase::Morphology	variant	unit	subsumed	jbotci.diagnostics.TracePhase		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::TracePhase::Syntax	variant	unit	subsumed	jbotci.diagnostics.TracePhase		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::TracePhase::includes	method	fn includes (self , phase : TracePhase) -> bool	direct	jbotci.diagnostics.TracePhase.includes		
jbotci_diagnostics::TracePhase::name	method	fn name(self) -> &'static str	subsumed	jbotci.diagnostics.TracePhase		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::TraceRecorder	enum	()	rust-only		implementation-representation	Mutable parser instrumentation engine; Python receives its immutable TraceReport product instead.
jbotci_diagnostics::TraceRecorder::Active	variant	(Box < TraceRecorderState >)	rust-only		implementation-representation	Mutable parser instrumentation engine; Python receives its immutable TraceReport product instead.
jbotci_diagnostics::TraceRecorder::Active::0	field	Box < TraceRecorderState >	rust-only		implementation-representation	Mutable parser instrumentation engine; Python receives its immutable TraceReport product instead.
jbotci_diagnostics::TraceRecorder::Disabled	variant	()	rust-only		implementation-representation	Mutable parser instrumentation engine; Python receives its immutable TraceReport product instead.
jbotci_diagnostics::TraceRecorder::enter_construct	method	fn enter_construct (& mut self , level : TraceLevel , label : & str , byte_start : usize , byte_end : usize ,)	rust-only		implementation-representation	Mutable parser instrumentation engine; Python receives its immutable TraceReport product instead.
jbotci_diagnostics::TraceRecorder::exit_construct	method	fn exit_construct (& mut self , level : TraceLevel , kind : TraceEventKind , label : & str , byte_start : usize , byte_end : usize , detail : impl FnOnce () -> Option < String > ,)	rust-only		implementation-representation	Mutable parser instrumentation engine; Python receives its immutable TraceReport product instead.
jbotci_diagnostics::TraceRecorder::finish	method	fn finish (self) -> Option < TraceReport >	rust-only		implementation-representation	Mutable parser instrumentation engine; Python receives its immutable TraceReport product instead.
jbotci_diagnostics::TraceRecorder::is_enabled	method	fn is_enabled (& self) -> bool	rust-only		implementation-representation	Mutable parser instrumentation engine; Python receives its immutable TraceReport product instead.
jbotci_diagnostics::TraceRecorder::new	method	fn new (options : TraceOptions , phase : TracePhase) -> Self	rust-only		implementation-representation	Mutable parser instrumentation engine; Python receives its immutable TraceReport product instead.
jbotci_diagnostics::TraceRecorder::record_with_detail	method	fn record_with_detail (& mut self , level : TraceLevel , kind : TraceEventKind , label : & str , byte_start : usize , byte_end : usize , detail : impl FnOnce () -> Option < String > ,)	rust-only		implementation-representation	Mutable parser instrumentation engine; Python receives its immutable TraceReport product instead.
jbotci_diagnostics::TraceRecorder::set_failure	method	fn set_failure (& mut self , failure : TraceFailureSummary)	rust-only		implementation-representation	Mutable parser instrumentation engine; Python receives its immutable TraceReport product instead.
jbotci_diagnostics::TraceRecorder::should_record	method	fn should_record (& self , level : TraceLevel , label : & str) -> bool	rust-only		implementation-representation	Mutable parser instrumentation engine; Python receives its immutable TraceReport product instead.
jbotci_diagnostics::TraceRecorderState	struct	()	rust-only		implementation-representation	Internal mutable storage for TraceRecorder; Python receives immutable trace events and reports.
jbotci_diagnostics::TraceReport	struct	()	direct	jbotci.diagnostics.TraceReport		
